Mês;Linha;Fabricante;Quantidade
01/01/2012;Semileves;Agrale;0
01/02/2012;Semileves;Agrale;1
01/03/2012;Semileves;Agrale;9
01/04/2012;Semileves;Agrale;2
01/05/2012;Semileves;Agrale;1
01/06/2012;Semileves;Agrale;0
01/07/2012;Semileves;Agrale;1
01/08/2012;Semileves;Agrale;6
01/09/2012;Semileves;Agrale;11
01/10/2012;Semileves;Agrale;5
01/11/2012;Semileves;Agrale;0
01/12/2012;Semileves;Agrale;1
01/01/2012;Semileves;FCA (Fiat/Dodge);2
01/02/2012;Semileves;FCA (Fiat/Dodge);2
01/03/2012;Semileves;FCA (Fiat/Dodge);328
01/04/2012;Semileves;FCA (Fiat/Dodge);265
01/05/2012;Semileves;FCA (Fiat/Dodge);68
01/06/2012;Semileves;FCA (Fiat/Dodge);86
01/07/2012;Semileves;FCA (Fiat/Dodge);185
01/08/2012;Semileves;FCA (Fiat/Dodge);98
01/09/2012;Semileves;FCA (Fiat/Dodge);78
01/10/2012;Semileves;FCA (Fiat/Dodge);76
01/11/2012;Semileves;FCA (Fiat/Dodge);50
01/12/2012;Semileves;FCA (Fiat/Dodge);85
01/01/2012;Semileves;Ford;255
01/02/2012;Semileves;Ford;258
01/03/2012;Semileves;Ford;255
01/04/2012;Semileves;Ford;145
01/05/2012;Semileves;Ford;148
01/06/2012;Semileves;Ford;84
01/07/2012;Semileves;Ford;81
01/08/2012;Semileves;Ford;34
01/09/2012;Semileves;Ford;14
01/10/2012;Semileves;Ford;9
01/11/2012;Semileves;Ford;0
01/12/2012;Semileves;Ford;1
01/01/2012;Semileves;Iveco;161
01/02/2012;Semileves;Iveco;118
01/03/2012;Semileves;Iveco;142
01/04/2012;Semileves;Iveco;133
01/05/2012;Semileves;Iveco;142
01/06/2012;Semileves;Iveco;110
01/07/2012;Semileves;Iveco;108
01/08/2012;Semileves;Iveco;129
01/09/2012;Semileves;Iveco;105
01/10/2012;Semileves;Iveco;140
01/11/2012;Semileves;Iveco;167
01/12/2012;Semileves;Iveco;164
01/01/2012;Semileves;MAN;63
01/02/2012;Semileves;MAN;51
01/03/2012;Semileves;MAN;72
01/04/2012;Semileves;MAN;84
01/05/2012;Semileves;MAN;78
01/06/2012;Semileves;MAN;76
01/07/2012;Semileves;MAN;101
01/08/2012;Semileves;MAN;127
01/09/2012;Semileves;MAN;55
01/10/2012;Semileves;MAN;104
01/11/2012;Semileves;MAN;86
01/12/2012;Semileves;MAN;77
01/01/2012;Semileves;Mercedes-Benz;82
01/02/2012;Semileves;Mercedes-Benz;81
01/03/2012;Semileves;Mercedes-Benz;108
01/04/2012;Semileves;Mercedes-Benz;56
01/05/2012;Semileves;Mercedes-Benz;49
01/06/2012;Semileves;Mercedes-Benz;19
01/07/2012;Semileves;Mercedes-Benz;50
01/08/2012;Semileves;Mercedes-Benz;60
01/09/2012;Semileves;Mercedes-Benz;83
01/10/2012;Semileves;Mercedes-Benz;109
01/11/2012;Semileves;Mercedes-Benz;79
01/12/2012;Semileves;Mercedes-Benz;86
01/01/2012;Semileves;Outras empresas;16
01/02/2012;Semileves;Outras empresas;22
01/03/2012;Semileves;Outras empresas;47
01/04/2012;Semileves;Outras empresas;38
01/05/2012;Semileves;Outras empresas;42
01/06/2012;Semileves;Outras empresas;44
01/07/2012;Semileves;Outras empresas;40
01/08/2012;Semileves;Outras empresas;49
01/09/2012;Semileves;Outras empresas;42
01/10/2012;Semileves;Outras empresas;44
01/11/2012;Semileves;Outras empresas;40
01/12/2012;Semileves;Outras empresas;28
01/01/2012;Leves;Agrale;39
01/02/2012;Leves;Agrale;31
01/03/2012;Leves;Agrale;48
01/04/2012;Leves;Agrale;30
01/05/2012;Leves;Agrale;35
01/06/2012;Leves;Agrale;27
01/07/2012;Leves;Agrale;15
01/08/2012;Leves;Agrale;20
01/09/2012;Leves;Agrale;26
01/10/2012;Leves;Agrale;32
01/11/2012;Leves;Agrale;25
01/12/2012;Leves;Agrale;28
01/01/2012;Leves;Caoa - Hyundai;1
01/02/2012;Leves;Caoa - Hyundai;5
01/03/2012;Leves;Caoa - Hyundai;8
01/04/2012;Leves;Caoa - Hyundai;2
01/05/2012;Leves;Caoa - Hyundai;18
01/06/2012;Leves;Caoa - Hyundai;9
01/07/2012;Leves;Caoa - Hyundai;6
01/08/2012;Leves;Caoa - Hyundai;18
01/09/2012;Leves;Caoa - Hyundai;14
01/10/2012;Leves;Caoa - Hyundai;19
01/11/2012;Leves;Caoa - Hyundai;10
01/12/2012;Leves;Caoa - Hyundai;23
01/01/2012;Leves;Ford;817
01/02/2012;Leves;Ford;616
01/03/2012;Leves;Ford;675
01/04/2012;Leves;Ford;523
01/05/2012;Leves;Ford;571
01/06/2012;Leves;Ford;518
01/07/2012;Leves;Ford;540
01/08/2012;Leves;Ford;617
01/09/2012;Leves;Ford;572
01/10/2012;Leves;Ford;593
01/11/2012;Leves;Ford;656
01/12/2012;Leves;Ford;645
01/01/2012;Leves;Iveco;232
01/02/2012;Leves;Iveco;185
01/03/2012;Leves;Iveco;233
01/04/2012;Leves;Iveco;160
01/05/2012;Leves;Iveco;199
01/06/2012;Leves;Iveco;163
01/07/2012;Leves;Iveco;137
01/08/2012;Leves;Iveco;166
01/09/2012;Leves;Iveco;138
01/10/2012;Leves;Iveco;150
01/11/2012;Leves;Iveco;188
01/12/2012;Leves;Iveco;167
01/01/2012;Leves;MAN;1010
01/02/2012;Leves;MAN;956
01/03/2012;Leves;MAN;1372
01/04/2012;Leves;MAN;1132
01/05/2012;Leves;MAN;1010
01/06/2012;Leves;MAN;1077
01/07/2012;Leves;MAN;974
01/08/2012;Leves;MAN;955
01/09/2012;Leves;MAN;822
01/10/2012;Leves;MAN;1056
01/11/2012;Leves;MAN;1170
01/12/2012;Leves;MAN;1309
01/01/2012;Leves;Mercedes-Benz;787
01/02/2012;Leves;Mercedes-Benz;792
01/03/2012;Leves;Mercedes-Benz;913
01/04/2012;Leves;Mercedes-Benz;730
01/05/2012;Leves;Mercedes-Benz;821
01/06/2012;Leves;Mercedes-Benz;848
01/07/2012;Leves;Mercedes-Benz;870
01/08/2012;Leves;Mercedes-Benz;923
01/09/2012;Leves;Mercedes-Benz;732
01/10/2012;Leves;Mercedes-Benz;1010
01/11/2012;Leves;Mercedes-Benz;989
01/12/2012;Leves;Mercedes-Benz;855
01/01/2012;Leves;Outras empresas;9
01/02/2012;Leves;Outras empresas;23
01/03/2012;Leves;Outras empresas;19
01/04/2012;Leves;Outras empresas;24
01/05/2012;Leves;Outras empresas;27
01/06/2012;Leves;Outras empresas;16
01/07/2012;Leves;Outras empresas;23
01/08/2012;Leves;Outras empresas;25
01/09/2012;Leves;Outras empresas;21
01/10/2012;Leves;Outras empresas;21
01/11/2012;Leves;Outras empresas;39
01/12/2012;Leves;Outras empresas;36
01/01/2012;Médios;Agrale;17
01/02/2012;Médios;Agrale;15
01/03/2012;Médios;Agrale;11
01/04/2012;Médios;Agrale;14
01/05/2012;Médios;Agrale;11
01/06/2012;Médios;Agrale;11
01/07/2012;Médios;Agrale;11
01/08/2012;Médios;Agrale;12
01/09/2012;Médios;Agrale;11
01/10/2012;Médios;Agrale;25
01/11/2012;Médios;Agrale;8
01/12/2012;Médios;Agrale;10
01/01/2012;Médios;Ford;220
01/02/2012;Médios;Ford;201
01/03/2012;Médios;Ford;184
01/04/2012;Médios;Ford;194
01/05/2012;Médios;Ford;199
01/06/2012;Médios;Ford;225
01/07/2012;Médios;Ford;227
01/08/2012;Médios;Ford;255
01/09/2012;Médios;Ford;209
01/10/2012;Médios;Ford;258
01/11/2012;Médios;Ford;253
01/12/2012;Médios;Ford;222
01/01/2012;Médios;Iveco;28
01/02/2012;Médios;Iveco;48
01/03/2012;Médios;Iveco;37
01/04/2012;Médios;Iveco;34
01/05/2012;Médios;Iveco;35
01/06/2012;Médios;Iveco;38
01/07/2012;Médios;Iveco;17
01/08/2012;Médios;Iveco;16
01/09/2012;Médios;Iveco;6
01/10/2012;Médios;Iveco;5
01/11/2012;Médios;Iveco;3
01/12/2012;Médios;Iveco;0
01/01/2012;Médios;MAN;505
01/02/2012;Médios;MAN;492
01/03/2012;Médios;MAN;789
01/04/2012;Médios;MAN;655
01/05/2012;Médios;MAN;594
01/06/2012;Médios;MAN;530
01/07/2012;Médios;MAN;461
01/08/2012;Médios;MAN;468
01/09/2012;Médios;MAN;401
01/10/2012;Médios;MAN;458
01/11/2012;Médios;MAN;453
01/12/2012;Médios;MAN;553
01/01/2012;Médios;Mercedes-Benz;182
01/02/2012;Médios;Mercedes-Benz;154
01/03/2012;Médios;Mercedes-Benz;164
01/04/2012;Médios;Mercedes-Benz;166
01/05/2012;Médios;Mercedes-Benz;175
01/06/2012;Médios;Mercedes-Benz;255
01/07/2012;Médios;Mercedes-Benz;244
01/08/2012;Médios;Mercedes-Benz;247
01/09/2012;Médios;Mercedes-Benz;211
01/10/2012;Médios;Mercedes-Benz;226
01/11/2012;Médios;Mercedes-Benz;177
01/12/2012;Médios;Mercedes-Benz;218
01/01/2012;Médios;Outras empresas;0
01/02/2012;Médios;Outras empresas;0
01/03/2012;Médios;Outras empresas;0
01/04/2012;Médios;Outras empresas;0
01/05/2012;Médios;Outras empresas;0
01/06/2012;Médios;Outras empresas;0
01/07/2012;Médios;Outras empresas;0
01/08/2012;Médios;Outras empresas;1
01/09/2012;Médios;Outras empresas;0
01/10/2012;Médios;Outras empresas;0
01/11/2012;Médios;Outras empresas;0
01/12/2012;Médios;Outras empresas;0
01/01/2012;Semipesados;Agrale;0
01/02/2012;Semipesados;Agrale;0
01/03/2012;Semipesados;Agrale;0
01/04/2012;Semipesados;Agrale;0
01/05/2012;Semipesados;Agrale;0
01/06/2012;Semipesados;Agrale;1
01/07/2012;Semipesados;Agrale;2
01/08/2012;Semipesados;Agrale;6
01/09/2012;Semipesados;Agrale;3
01/10/2012;Semipesados;Agrale;4
01/11/2012;Semipesados;Agrale;1
01/12/2012;Semipesados;Agrale;2
01/01/2012;Semipesados;DAF;0
01/02/2012;Semipesados;DAF;0
01/03/2012;Semipesados;DAF;0
01/04/2012;Semipesados;DAF;0
01/05/2012;Semipesados;DAF;0
01/06/2012;Semipesados;DAF;0
01/07/2012;Semipesados;DAF;0
01/08/2012;Semipesados;DAF;0
01/09/2012;Semipesados;DAF;0
01/10/2012;Semipesados;DAF;0
01/11/2012;Semipesados;DAF;0
01/12/2012;Semipesados;DAF;0
01/01/2012;Semipesados;Ford;755
01/02/2012;Semipesados;Ford;792
01/03/2012;Semipesados;Ford;970
01/04/2012;Semipesados;Ford;744
01/05/2012;Semipesados;Ford;690
01/06/2012;Semipesados;Ford;736
01/07/2012;Semipesados;Ford;784
01/08/2012;Semipesados;Ford;862
01/09/2012;Semipesados;Ford;713
01/10/2012;Semipesados;Ford;746
01/11/2012;Semipesados;Ford;779
01/12/2012;Semipesados;Ford;950
01/01/2012;Semipesados;INTERNATIONAL;9
01/02/2012;Semipesados;INTERNATIONAL;4
01/03/2012;Semipesados;INTERNATIONAL;3
01/04/2012;Semipesados;INTERNATIONAL;3
01/05/2012;Semipesados;INTERNATIONAL;6
01/06/2012;Semipesados;INTERNATIONAL;6
01/07/2012;Semipesados;INTERNATIONAL;3
01/08/2012;Semipesados;INTERNATIONAL;5
01/09/2012;Semipesados;INTERNATIONAL;1
01/10/2012;Semipesados;INTERNATIONAL;2
01/11/2012;Semipesados;INTERNATIONAL;1
01/12/2012;Semipesados;INTERNATIONAL;1
01/01/2012;Semipesados;Iveco;300
01/02/2012;Semipesados;Iveco;234
01/03/2012;Semipesados;Iveco;305
01/04/2012;Semipesados;Iveco;258
01/05/2012;Semipesados;Iveco;255
01/06/2012;Semipesados;Iveco;178
01/07/2012;Semipesados;Iveco;280
01/08/2012;Semipesados;Iveco;269
01/09/2012;Semipesados;Iveco;205
01/10/2012;Semipesados;Iveco;251
01/11/2012;Semipesados;Iveco;266
01/12/2012;Semipesados;Iveco;223
01/01/2012;Semipesados;MAN;1321
01/02/2012;Semipesados;MAN;1326
01/03/2012;Semipesados;MAN;1781
01/04/2012;Semipesados;MAN;1505
01/05/2012;Semipesados;MAN;1466
01/06/2012;Semipesados;MAN;1271
01/07/2012;Semipesados;MAN;1274
01/08/2012;Semipesados;MAN;1222
01/09/2012;Semipesados;MAN;915
01/10/2012;Semipesados;MAN;1186
01/11/2012;Semipesados;MAN;1434
01/12/2012;Semipesados;MAN;1547
01/01/2012;Semipesados;Mercedes-Benz;1090
01/02/2012;Semipesados;Mercedes-Benz;1157
01/03/2012;Semipesados;Mercedes-Benz;1329
01/04/2012;Semipesados;Mercedes-Benz;989
01/05/2012;Semipesados;Mercedes-Benz;972
01/06/2012;Semipesados;Mercedes-Benz;798
01/07/2012;Semipesados;Mercedes-Benz;709
01/08/2012;Semipesados;Mercedes-Benz;837
01/09/2012;Semipesados;Mercedes-Benz;663
01/10/2012;Semipesados;Mercedes-Benz;854
